time	TriggeredState-name	TriggeredState-state	[00].VehicleUpdate-pos.001	[00].VehicleUpdate-pos.002	[00].VehicleUpdate-pos.003	[00].VehicleUpdate-pos.004	[00].VehicleUpdate-pos.005	[00].VehicleUpdate-pos.006	[00].VehicleUpdate-COGPos.001	[00].VehicleUpdate-COGPos.002	[00].VehicleUpdate-COGPos.003	[00].VehicleUpdate-speed.001	[00].VehicleUpdate-speed.002	[00].VehicleUpdate-speed.003	[00].VehicleUpdate-speed.004	[00].VehicleUpdate-speed.005	[00].VehicleUpdate-speed.006	[00].VehicleUpdate-accel.001	[00].VehicleUpdate-accel.002	[00].VehicleUpdate-accel.003	[00].VehicleUpdate-accel.004	[00].VehicleUpdate-accel.005	[00].VehicleUpdate-accel.006	[00].VehicleUpdate-accelerator	[00].VehicleUpdate-brake	Last_TimeMarker
0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
0.05	null	null	-1724.94072061	7461.56488268	-0.00170725904397	-1.57079965275	-0.000430904529027	3.51395613146e-08	-1724.94072556	7460.08481196	0.52507864484	0.00120958080515	-4.65804760097e-07	-0.0521067045629	2.52943124224e-08	-0.0200255550444	1.13807891466e-06	0.0795969963074	-5.83295650358e-06	-1.0612796545	-4.14040528085e-07	-0.422575026751	-1.49542063355e-06	0	0	
0.1	null	null	-1724.94072062	7461.5638648	-0.00832674137905	-1.57079965301	-0.00205470626565	9.20799736269e-08	-1724.94072558	7460.08465143	0.520861808353	0.0038370154798	-4.85199450395e-07	-0.0917471051216	-1.17256968579e-08	-0.0361783057451	9.05901003989e-07	0.0353240855038	5.74927025809e-06	-0.405711025	3.98391421186e-06	-0.197183489799	5.7229487993e-07	0	0	
0.15	null	null	-1724.94072043	7461.56264049	-0.0158162629733	-1.57079960091	-0.0039231303179	2.3265588798e-07	-1724.94072539	7460.08441845	0.51613515929	0.00646752072498	9.06687546376e-06	-0.0992590263486	4.56472389487e-06	-0.0394466668367	3.12963743454e-06	0.431844234467	0.000179762922926	0.065235555172	0.00013972868328	-0.146500006318	4.79000846099e-05	1	0	
0.2	null	null	-1724.94072022	7461.55956016	-0.0239459840674	-1.5707990533	-0.00634850693778	5.901819589e-07	-1724.94072455	7460.08263265	0.511589115267	0.0529617369175	2.28229855566e-05	-0.0888725817204	1.45710882862e-05	-0.0523249730468	3.47884497387e-06	0.0974554046988	7.83425348345e-05	0.323371291161	-2.73642326647e-05	0.375055789948	-0.000361867656466	0.00382883776911	0	
0.25	null	null	-1724.94072004	7461.55598685	-0.0305810164767	-1.57079834962	-0.00827035330836	4.78003418816e-07	-1724.94072328	7460.08009128	0.50779151989	0.0514691732824	3.08636263071e-05	-0.0690334141254	1.50093756019e-05	-0.0262750145048	-7.89981277194e-06	-0.0340162031353	0.000104115708382	0.511006236076	-2.64537302428e-05	0.582732319832	-0.000170424973476	0.0282374545932	0	
0.3	null	null	-1724.94071965	7461.55280983	-0.0344252890495	-1.57079758133	-0.00888817713286	-1.97249858215e-07	-1724.94072139	7460.07724716	0.504858987954	0.049243286252	3.60208650818e-05	-0.0361661091447	1.2681134649e-05	0.00309604499489	-1.57813574333e-05	-0.0159767903388	2.25910807785e-05	0.624205589294	-3.60029043804e-05	0.438336372375	-1.65714318427e-05	0.0467211976647	0	
0.35	null	null	-1724.94071911	7461.55067819	-0.0346500608996	-1.57079697277	-0.00835096355901	-9.12572789157e-07	-1724.94071958	7460.07482603	0.503841446029	0.0524936839938	3.9694365114e-05	-0.00891606323421	1.33058292704e-05	0.016998430714	-1.22744022519e-05	0.138195902109	3.71016212739e-05	0.470126777887	4.54474393337e-05	0.135364338756	0.000224052026169	0.0945194140077	0	
0.4	null	null	-1724.94071836	7461.5484182	-0.0333580620085	-1.57079623053	-0.00749532827542	-1.25441081541e-06	-1724.94071756	7460.07210582	0.503870456771	0.0617387667298	4.60409937659e-05	0.00671646930277	1.88497215277e-05	0.0165469460189	-1.02022215742e-06	0.260920614004	0.000144156205351	0.199840605259	0.000167126374436	-0.122187130153	0.000309511291562	0.147249490023	0	
0.45	null	null	-1724.94071749	7461.54546749	-0.0319512452838	-1.57079504743	-0.00687878316869	-9.93478085967e-07	-1724.94071508	7460.06882417	0.504366958273	0.0775748416781	6.02850341238e-05	0.0118420710787	3.21420193359e-05	0.00893579330295	1.17963900266e-05	0.415793776512	0.000357734825229	0.0386666730046	0.000301039312035	-0.174245372415	0.000261455483269	0.200439035892	0	
